tenant_id,curso_id,nombre,descripcion,instructor,precio,precio_original,rating,estudiantes,duracion,imagen_url,categories,nivel
UDEMY,e29dd4fe-aa46-4903-9b54-5be0532737cd,Introducción a Python - Desde Cero,Aprende introducción a python de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Dr. José García,35.0,,3.5,2048,2 horas,https://example.com/images/curso_d313d2c1.jpg,"[""Marketing"", ""Digital""]",Intermedio
UDEMY,06cfba9d-2945-453e-831d-989fe6155286,Angular Fundamentals - Avanzado,Aprende angular fundamentals de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Prof. Antonio Silva,154.0,,3.9,28005,10 horas,https://example.com/images/curso_db0d0d49.jpg,"[""Cloud Computing"", ""Azure""]",Intermedio
UDEMY,c1e4de95-6406-4bc0-bf35-f3c1eb52a7d7,SEO Optimization - Completo,Aprende seo optimization de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Prof. Raúl Vega,112.0,,3.6,339,6 horas,https://example.com/images/curso_a57b1667.jpg,"[""M\u00f3vil"", ""React Native""]",Experto
UDEMY,c29b6f9d-36e2-4507-92a3-c3b9a092ae4f,Swift iOS Development - Masterclass,Aprende swift ios development de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Prof. Antonio Silva,42.0,,4.3,15139,30 horas,https://example.com/images/curso_9c2a3150.jpg,"[""Desarrollo Web"", ""Backend""]",Avanzado
UDEMY,5f452c22-0b13-4cd8-994e-23420f07ba6b,Swift iOS Development - Avanzado,Aprende swift ios development de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Dr. María González,63.0,,4.4,17059,10 horas,https://example.com/images/curso_921e59bc.jpg,"[""Seguridad"", ""Ethical Hacking""]",Intermedio
UDEMY,52104b55-9a0c-4057-a175-eaf63da84d52,Blockchain Development - Desde Cero,Aprende blockchain development de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Dra. Cristina Mendoza,58.0,,4.2,8116,25 horas,https://example.com/images/curso_b8025091.jpg,"[""Juegos"", ""Unreal Engine""]",Experto
UDEMY,4ec641b7-2912-4593-a2d3-b95251f99d01,Rust Programming - Masterclass,Aprende rust programming de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Dr. María González,54.0,,3.9,32547,40 horas,https://example.com/images/curso_aea811fb.jpg,"[""Marketing"", ""SEO""]",Experto
UDEMY,1731049d-36bd-4219-81d7-fa93db9d2675,Programación Orientada a Objetos - Completo,Aprende programación orientada a objetos de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Lic. Beatriz Aguilar,158.0,,4.1,47269,40 horas,https://example.com/images/curso_3528cf55.jpg,"[""DevOps"", ""Kubernetes""]",Intermedio
UDEMY,cbeecd12-7906-4611-93d5-3bd0bb3ad58b,Node.js Completo - Desde Cero,Aprende node.js completo de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Ing. Lucía Vargas,127.0,,4.5,1331,6 horas,https://example.com/images/curso_52c3911d.jpg,"[""Ciencia de Datos"", ""Analytics""]",Experto
UDEMY,708b1ba2-7450-4081-922b-218697d43be0,MongoDB Avanzado - 2024,Aprende mongodb avanzado de manera práctica y efectiva. Este curso te llevará desde los conceptos básicos hasta técnicas avanzadas. Incluye proyectos reales y ejercicios prácticos para consolidar tu aprendizaje.,Prof. Diego Ramírez,45.0,,4.7,21291,8 horas,https://example.com/images/curso_7051c6ab.jpg,"[""Seguridad"", ""Cybersecurity""]",Avanzado
